,PCARD_NO,counts,TIME_CATEGORY,STOP_ID
0,000E0E005B05G33F,1,Morning Peak (MP),8944.0
1,000E0E005B05G33F,1,Morning Peak (MP),8000505.0
2,000E0E0096GCF6EB,13,Morning Peak (MP),232.0
3,000E0E0096GCF6EB,2,Morning Peak (MP),10718.0
4,000E0E0096GCF6EB,9,Morning Peak (MP),71300.0
5,000E0E0096GCF6EB,1,Morning Peak (MP),71302.0
6,000E0E0096GCF6EB,15,Morning Peak (MP),71349.0
7,000E0E0096GCF6EB,6,Morning Peak (MP),75921.0
8,000E0E0096GCF6EB,1,Morning Peak (MP),8002377.0
9,000E0E0096GCF6EB,13,Morning Peak (MP),9010224.0
10,000E0E00B009C090,8,Morning Peak (MP),1005.0
11,000E0E00B009C090,9,Morning Peak (MP),1815.0
12,000E0E00B009C090,12,Morning Peak (MP),9652.0
13,000E0E00B009C090,1,Morning Peak (MP),9656.0
14,000E0E00B009C090,2,Morning Peak (MP),74604.0
15,000E0E0336EC0GEE,2,Morning Peak (MP),211.0
16,000E0E0336EC0GEE,3,Morning Peak (MP),213.0
17,000E0E0336EC0GEE,1,Morning Peak (MP),214.0
18,000E0E0336EC0GEE,14,Morning Peak (MP),2546.0
19,000E0E033F6FB5EC,17,Morning Peak (MP),2633.0
20,000E0E03596FCEFF,20,Morning Peak (MP),1015.0
21,000E0E03596FCEFF,1,Morning Peak (MP),1853.0
22,000E0E03596FCEFF,1,Morning Peak (MP),1860.0
23,000E0E0359G5035F,1,Morning Peak (MP),220.0
24,000E0E0359G5035F,16,Morning Peak (MP),337.0
25,000E0E0359G5035F,1,Morning Peak (MP),2724.0
26,000E0E03C6565E5F,1,Morning Peak (MP),214.0
27,000E0E03C6565E5F,17,Morning Peak (MP),2812.0
28,000E0E03C6565E5F,15,Morning Peak (MP),9007912.0
29,000E0E0535660CF9,4,Morning Peak (MP),416.0
30,000E0E0535660CF9,11,Morning Peak (MP),2644.0
